index,topology,strategy_name,n_rows,mean_depth,mean_2q,mean_swap,mean_depth_overhead,mean_twoq_overhead,mean_delta_depth_vs_natural_fixed,mean_delta_2q_vs_natural_fixed,mean_delta_swap_vs_natural_fixed,mean_pct_depth_vs_natural_fixed,mean_pct_2q_vs_natural_fixed,mean_pct_swap_vs_natural_fixed,mean_delta_depth_vs_standard_qiskit,mean_delta_2q_vs_standard_qiskit,mean_delta_swap_vs_standard_qiskit,mean_transpilation_time_sec
0,grid_2d,bfs_topology_aware,60,103.53333333333333,182.26666666666668,67.3,2.6106257951188203,1.5282373127043793,7.633333333333334,8.383333333333333,8.383333333333333,23.676878728881864,16.165616905068024,32.20311355716829,13.0,18.916666666666668,18.916666666666668,0.0025857729953713215
1,grid_2d,degree_desc_centrality_layout,60,106.03333333333333,183.1,68.13333333333334,2.603459180996438,1.5246878770544066,10.133333333333333,9.216666666666667,9.216666666666667,22.68044682751681,15.681339864015722,28.73758947924261,15.5,19.75,19.75,0.002396431260664582
2,grid_2d,degree_desc_fixed,60,102.05,178.88333333333333,63.916666666666664,2.1470604764696883,1.361560659507805,6.15,5.0,5.0,2.4481480498174095,1.040501823457479,3.4012937292112544,11.516666666666667,15.533333333333333,15.533333333333333,0.002115870109992055
3,grid_2d,natural_fixed,60,95.9,173.88333333333333,58.916666666666664,2.1095918082348653,1.3452824711529783,0.0,0.0,0.0,0.0,0.0,0.0,5.366666666666666,10.533333333333333,10.533333333333333,0.0021228167538841053
4,grid_2d,random_fixed,60,106.83333333333333,184.16666666666666,69.2,2.596613896499284,1.5500662282889799,10.933333333333334,10.283333333333333,10.283333333333333,23.0152838570909,18.21547461483159,31.18153827954421,16.3,20.816666666666666,20.816666666666666,0.002153016593850477
5,grid_2d,standard_qiskit,60,90.53333333333333,163.35,48.38333333333333,1.9176217118879892,1.227738689574076,-5.366666666666666,-10.533333333333333,-10.533333333333333,-7.954805850158333,-8.618587022280582,-41.447985804789234,0.0,0.0,0.0,0.0028177292357819284
6,grid_2d,weighted_degree_desc_centrality_layout,60,106.5,183.88333333333333,68.91666666666667,2.605533572064519,1.5337218862528608,10.6,10.0,10.0,22.705242991126248,16.344927923760604,32.05357849304859,15.966666666666667,20.533333333333335,20.533333333333335,0.002159083324174032
7,grid_2d,weighted_degree_desc_fixed,60,99.23333333333333,178.01666666666668,63.05,2.1386244644443377,1.351152110958466,3.3333333333333335,4.133333333333334,4.133333333333334,2.129468794958181,0.24679684472420055,-0.8750378775541973,8.7,14.666666666666666,14.666666666666666,0.002119445800781198
8,heavy_hex_like,bfs_topology_aware,60,125.41666666666667,221.6,106.63333333333334,3.250752233148348,1.8166710852683956,20.483333333333334,34.733333333333334,34.733333333333334,49.15756514361427,35.6324242482722,26.788485457446924,28.233333333333334,42.733333333333334,42.733333333333334,0.0021721146185881865
9,heavy_hex_like,degree_desc_centrality_layout,60,119.81666666666666,219.43333333333334,104.46666666666667,3.143999335676487,1.820784197333154,14.883333333333333,32.56666666666667,32.56666666666667,44.744984455109815,36.174406886545405,30.6849727216062,22.633333333333333,40.56666666666667,40.56666666666667,0.0021705659436216684
10,heavy_hex_like,degree_desc_fixed,60,112.81666666666666,209.83333333333334,94.86666666666666,2.265510902943792,1.4704863451432695,7.883333333333334,22.966666666666665,22.966666666666665,1.3857390847329543,2.9663617053744633,9.24778042215582,15.633333333333333,30.966666666666665,30.966666666666665,0.00210558677596656
11,heavy_hex_like,natural_fixed,60,104.93333333333334,186.86666666666667,71.9,2.225234789402983,1.4179245040234099,0.0,0.0,0.0,0.0,0.0,0.0,7.75,8.0,8.0,0.0021065333004419515
12,heavy_hex_like,random_fixed,60,122.13333333333334,224.3,109.33333333333333,3.152016805570313,1.8851615825569918,17.2,37.43333333333333,37.43333333333333,44.856064602110564,41.05922053463349,42.82058245031498,24.95,45.43333333333333,45.43333333333333,0.002183464522628685
13,heavy_hex_like,standard_qiskit,60,97.18333333333334,178.86666666666667,63.9,2.0433033185370557,1.3118872875370242,-7.75,-8.0,-8.0,-7.694756367816753,-6.887330273043464,-28.589848151526617,0.0,0.0,0.0,0.0025711118806308283
14,heavy_hex_like,weighted_degree_desc_centrality_layout,60,122.61666666666666,222.96666666666667,108.0,3.18300627131094,1.8407731774255853,17.683333333333334,36.1,36.1,46.50395395175486,37.442454853747634,35.719459128224024,25.433333333333334,44.1,44.1,0.002178089532147425
15,heavy_hex_like,weighted_degree_desc_fixed,60,111.75,210.35,95.38333333333334,2.258525913851508,1.4703893311582812,6.816666666666666,23.483333333333334,23.483333333333334,1.161539014661618,2.9260489991624765,8.699962297840248,14.566666666666666,31.483333333333334,31.483333333333334,0.002122856965676518
16,line,bfs_topology_aware,60,133.98333333333332,339.5833333333333,224.61666666666667,4.0337397329161755,2.9088697958380405,36.483333333333334,87.9,87.9,89.9617758353974,93.31310113897828,37.08296197324681,45.45,106.15,106.15,0.002171902777627065
17,line,degree_desc_centrality_layout,60,131.68333333333334,341.73333333333335,226.76666666666668,4.1336036014332365,3.1296096710173233,34.18333333333333,90.05,90.05,95.68537359205894,115.95148553394033,45.59688713558282,43.15,108.3,108.3,0.0021713187898663917
18,line,degree_desc_fixed,60,125.06666666666666,308.6166666666667,193.65,2.3850406306790544,1.984102857329524,27.566666666666666,56.93333333333333,56.93333333333333,9.554859757019832,7.342471870012071,19.616489205824728,36.53333333333333,75.18333333333334,75.18333333333334,0.0021415333632224033
19,line,natural_fixed,60,97.5,251.68333333333334,136.71666666666667,2.1974469872772273,1.8254811717318284,0.0,0.0,0.0,0.0,0.0,0.0,8.966666666666667,18.25,18.25,0.002078120907147672
20,line,random_fixed,60,134.31666666666666,342.15,227.18333333333334,3.401081040549727,2.847279572489482,36.81666666666667,90.46666666666667,90.46666666666667,58.34881907511869,82.43104113829666,62.59768652037747,45.78333333333333,108.71666666666667,108.71666666666667,0.002172554146576
21,line,standard_qiskit,60,88.53333333333333,233.43333333333334,118.46666666666667,1.9584509972659079,1.6015462094730497,-8.966666666666667,-18.25,-18.25,-9.5589095920318,-10.375522609377187,-28.72845523636786,0.0,0.0,0.0,0.0027152395943023963
22,line,weighted_degree_desc_centrality_layout,60,130.11666666666667,341.2,226.23333333333332,4.12433561073854,3.1422144468216278,32.61666666666667,89.51666666666667,89.51666666666667,94.94555275009938,116.56892839739677,47.31821846237347,41.583333333333336,107.76666666666667,107.76666666666667,0.00217061045890049
23,line,weighted_degree_desc_fixed,60,117.5,313.1333333333333,198.16666666666666,2.3234892981124,1.9965285677956321,20.0,61.45,61.45,6.646814247218882,7.613790063415252,19.27780402294625,28.966666666666665,79.7,79.7,0.002088128408649887
